start,target,increment,crossing
MAIN_0001,PICKING_0001,,
PICKING_0001,PICKING_0002,2,
PICKING_0003,MAIN_0011,,
MAIN_0011,MAIN_0012,,
MAIN_0012,PICKING_0004,,
PICKING_0004,PICKING_0005,2,
PICKING_0006,MAIN_0002,,
MAIN_0002,MAIN_0003,,
MAIN_0003,PICKING_0007,,
PICKING_0007,PICKING_0008,2,
PICKING_0009,MAIN_0013,,
MAIN_0013,MAIN_0014,,
MAIN_0014,PICKING_0010,,
PICKING_0010,PICKING_0011,2,
PICKING_0012,MAIN_0004,,
MAIN_0004,MAIN_0005,,
MAIN_0005,PICKING_0013,,
PICKING_0013,PICKING_0014,2,
PICKING_0015,MAIN_0015,,
MAIN_0015,MAIN_0016,,
MAIN_0016,PICKING_0016,,
PICKING_0016,PICKING_0017,2,
PICKING_0018,MAIN_0006,,
MAIN_0006,QCONTAINER_UNBIND_0001,,
QCONTAINER_UNBIND_0001,CONTAINER_UNBIND_0001,,
CONTAINER_UNBIND_0001,QSTANDBY_0001,,
QSTANDBY_0001,STANDBY_0001,,
STANDBY_0001,CONTAINER_BIND_0001,,
CONTAINER_BIND_0001,MAIN_0001,,
QCONTAINER_UNBIND_0002,CONTAINER_UNBIND_0002,,
CONTAINER_UNBIND_0002,QSTANDBY_0001,,
MAIN_0001,MAIN_0002,5,
MAIN_0011,MAIN_0012,5,
